pid,label,publication,location,full_date,month_day,volume-notes,year,full,thumb,index_terms,toc,manifest_all,manifest_indiv
obj1,"Thanksgiving. A Sermon delivered on Thanksgiving Day, November 27th 1851, by the Rev. S. Morais, Minister of the Congregation Mikveh Israel, Philadelphia.",The Asmonean,New York," December 12, 1851",12-Dec,,1851,"https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s8104448--38ae72714a0fff50a1da540d41e4c31e7897ef643e0edf24ca48ddc768f97cac.jpeg/full/3500,/0/default.jpg","https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s8104448--38ae72714a0fff50a1da540d41e4c31e7897ef643e0edf24ca48ddc768f97cac.jpeg/full/!200,200/0/default.jpg",Asmonean|Literary associations|Republicanism|Spain|Thanksgiving|War of Independence (American),15,https://colenda.library.upenn.edu/items/ark:/81431/p35d8nw83/manifest,https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s8104448--38ae72714a0fff50a1da540d41e4c31e7897ef643e0edf24ca48ddc768f97cac.jpeg
obj2,"Thanksgiving Discourse. An Address. Delivered by a member of the order on the 24th of November, it being the Thanksgiving Day appointed by the Governor of the State of Pennsylvania.",The Masonic Mirror and Keystone,Philadelphia," December 7, 1853",7-Dec,,1853,"https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s5598632--3fd1fc4850274ef8197acea3a42c5cfb713e43f729c121240a8783d672679d85.jpeg/full/3500,/0/default.jpg","https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s5598632--3fd1fc4850274ef8197acea3a42c5cfb713e43f729c121240a8783d672679d85.jpeg/full/!200,200/0/default.jpg","Disasters, natural & man-made|Philadelphia|Public school|Republicanism|Thanksgiving",16,https://colenda.library.upenn.edu/items/ark:/81431/p35d8nw83/manifest,https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s5598632--3fd1fc4850274ef8197acea3a42c5cfb713e43f729c121240a8783d672679d85.jpeg
obj3,"The History of the Jewish Nation, by Dr. Wise. [Letter] To Robert Lyon, Esq., Editor of The Asmonean, Philadelphia, January 9, 1854.",The Asmonean,New York," January 20, 1854",20-Jan,,1854,"https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s7803854--4785b5febf53223bfb3fc0dbcc986fe9de64c29c9326650456ad62ca15d42872.jpeg/full/3500,/0/default.jpg","https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s7803854--4785b5febf53223bfb3fc0dbcc986fe9de64c29c9326650456ad62ca15d42872.jpeg/full/!200,200/0/default.jpg","Abarbanel, Isaac ben Judah|Asmonean|Higher biblical criticism|Ibn Ezra, Abraham|Luzzatto, S.D. Prof.|Niebhur, Carstens|Wise, I. M.|History of the Jewish Nation",17,https://colenda.library.upenn.edu/items/ark:/81431/p35d8nw83/manifest,https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s7803854--4785b5febf53223bfb3fc0dbcc986fe9de64c29c9326650456ad62ca15d42872.jpeg
obj4,"Dr. Wise?s History. [Letter] To Robert Lyon, Esq., Editor of the ""Asmonean"", Philadelphia, 12th February, 1854.",The Asmonean,New York," February 17, 1854",17-Feb,,1854,"https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s7704118--275af510eb60cb273d25964754a34cbc1dbae2fa3ffbe438a8f63a544952fffe.jpeg/full/3500,/0/default.jpg","https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s7704118--275af510eb60cb273d25964754a34cbc1dbae2fa3ffbe438a8f63a544952fffe.jpeg/full/!200,200/0/default.jpg","Asmonean|Higher biblical criticism|Rapoport, S.L.|Wise, I. M.",18,https://colenda.library.upenn.edu/items/ark:/81431/p35d8nw83/manifest,https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s7704118--275af510eb60cb273d25964754a34cbc1dbae2fa3ffbe438a8f63a544952fffe.jpeg
obj5,"The History of the Israelitish Nation by Dr. Wise. [Letter] To Robert Lyon, Esq., Editor of The Asmonean, Philadelphia, 9th March, 1854.",The Asmonean,New York," March 17, 1854",17-Mar,,1854,"https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s7260882--1c988c3af2f168fd19732c3b32160eef0485234e4d2658ed90aeb2c627e98980.jpeg/full/3500,/0/default.jpg","https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s7260882--1c988c3af2f168fd19732c3b32160eef0485234e4d2658ed90aeb2c627e98980.jpeg/full/!200,200/0/default.jpg","Asmonean|Ibn Ezra, Abraham|Wise, I. M.",19,https://colenda.library.upenn.edu/items/ark:/81431/p35d8nw83/manifest,https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s7260882--1c988c3af2f168fd19732c3b32160eef0485234e4d2658ed90aeb2c627e98980.jpeg
obj6,"Dr. Wise?s History. Philadelphia, 6th April, 1854. [Letter to] Robert Lyon, Esq., Editor of The Asmonean.",The Asmonean,New York," April 14, 1854",14-Apr,,1854,"https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s7868049--2c0f936e89d1e50fd5a6b4fdcae2400c5a7a4479a8b61015faf98db14256c60d.jpeg/full/3500,/0/default.jpg","https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s7868049--2c0f936e89d1e50fd5a6b4fdcae2400c5a7a4479a8b61015faf98db14256c60d.jpeg/full/!200,200/0/default.jpg","Asmonean|Ibn Ezra, Abraham|Wise, I. M.",20,https://colenda.library.upenn.edu/items/ark:/81431/p35d8nw83/manifest,https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s7868049--2c0f936e89d1e50fd5a6b4fdcae2400c5a7a4479a8b61015faf98db14256c60d.jpeg
obj7,"The Watchfulness of Providence over Nations. A Thanksgiving Address delivered by the Rev. S. Morais, Minister of the Portuguese Synagogue, of Philadelphia, on the 20th November, 1856.",The Asmonean,New York," November 28, 1856",28-Nov,,1856,"https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s9860657--350dc41e0decb277b2e843e9e1a6db2e37bbef8babf39d5b38f51a90d7b38b59.jpeg/full/3500,/0/default.jpg","https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s9860657--350dc41e0decb277b2e843e9e1a6db2e37bbef8babf39d5b38f51a90d7b38b59.jpeg/full/!200,200/0/default.jpg","Asmonean|Constitution, American|English antagonism|Knownothingism|Labour, condition of|Pennsylvania, Governor of|Prosperous|City of Fidelity|City of Love|City of Righteousness|Providence|Thanksgiving",21,https://colenda.library.upenn.edu/items/ark:/81431/p35d8nw83/manifest,https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s9860657--350dc41e0decb277b2e843e9e1a6db2e37bbef8babf39d5b38f51a90d7b38b59.jpeg
obj8,"Prayer and Address of the Rev. Morais, before the Jewish Foster Home Society, February 10, 1857.",The Asmonean,New York," February 20, 1857",20-Feb,,1857,"https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s8154842--3c7b7d60914f958a503f88146acf2fe5e53773b7023e0cd246f0be7f2ecf1e36.jpeg/full/3500,/0/default.jpg","https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s8154842--3c7b7d60914f958a503f88146acf2fe5e53773b7023e0cd246f0be7f2ecf1e36.jpeg/full/!200,200/0/default.jpg","Asmonean|Charity|Gans, Daniel|Jewish Foster Home Society, Philadelphia|Jewish Foster Home and Orphan Asylum, Philadelphia|Domestic|Pauperism",22,https://colenda.library.upenn.edu/items/ark:/81431/p35d8nw83/manifest,https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s8154842--3c7b7d60914f958a503f88146acf2fe5e53773b7023e0cd246f0be7f2ecf1e36.jpeg
obj9,A Protestant Jewish Church. Letter to the Editors of The Sunday Dispatch.,The Sunday Dispatch.,Philadelphia," February 6, 1859",6-Feb,,1859,"https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s7910149--9d7596bb0ef6a27eb627c9157a26aa42ba6f73f6a0c39797699e8c26251efe96.jpeg/full/3500,/0/default.jpg","https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s7910149--9d7596bb0ef6a27eb627c9157a26aa42ba6f73f6a0c39797699e8c26251efe96.jpeg/full/!200,200/0/default.jpg","Holdheim, I.|Jerusalem|Rapoport, S.L.|Reform Judaism, (also ""Neology""/""Gentilism"")|Religion and Philosophy|Creeds and Opinions|Sachs, Dr.|Sunday Dispatch, The|Zunz, Leopold",23,https://colenda.library.upenn.edu/items/ark:/81431/p35d8nw83/manifest,https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s7910149--9d7596bb0ef6a27eb627c9157a26aa42ba6f73f6a0c39797699e8c26251efe96.jpeg
obj10,Jewish Protestantism. [Letter] To the Editors of The Sunday Dispatch.,The Sunday Dispatch,Philadelphia," February 20, 1859",20-Feb,,1859,"https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s7910149--9d7596bb0ef6a27eb627c9157a26aa42ba6f73f6a0c39797699e8c26251efe96.jpeg/full/3500,/0/default.jpg","https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s7910149--9d7596bb0ef6a27eb627c9157a26aa42ba6f73f6a0c39797699e8c26251efe96.jpeg/full/!200,200/0/default.jpg","Frederic the Great|Joseph II, H. R. E.|Luzzatto, S.D. Prof.|Rapoport, S.L.|Reform Judaism, (also ""Neology""/""Gentilism"")|Sunday Dispatch, The|Wessely, Hertz",24,https://colenda.library.upenn.edu/items/ark:/81431/p35d8nw83/manifest,https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s7910149--9d7596bb0ef6a27eb627c9157a26aa42ba6f73f6a0c39797699e8c26251efe96.jpeg
