number,thumb,full
0001,"https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s8104448--38ae72714a0fff50a1da540d41e4c31e7897ef643e0edf24ca48ddc768f97cac.jpeg/full/!200,200/0/default.jpg","https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s8104448--38ae72714a0fff50a1da540d41e4c31e7897ef643e0edf24ca48ddc768f97cac.jpeg/full/3500,/0/default.jpg"
0002,"https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s5598632--3fd1fc4850274ef8197acea3a42c5cfb713e43f729c121240a8783d672679d85.jpeg/full/!200,200/0/default.jpg","https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s5598632--3fd1fc4850274ef8197acea3a42c5cfb713e43f729c121240a8783d672679d85.jpeg/full/3500,/0/default.jpg"
0003,"https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s7803854--4785b5febf53223bfb3fc0dbcc986fe9de64c29c9326650456ad62ca15d42872.jpeg/full/!200,200/0/default.jpg","https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s7803854--4785b5febf53223bfb3fc0dbcc986fe9de64c29c9326650456ad62ca15d42872.jpeg/full/3500,/0/default.jpg"
0004,"https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s7704118--275af510eb60cb273d25964754a34cbc1dbae2fa3ffbe438a8f63a544952fffe.jpeg/full/!200,200/0/default.jpg","https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s7704118--275af510eb60cb273d25964754a34cbc1dbae2fa3ffbe438a8f63a544952fffe.jpeg/full/3500,/0/default.jpg"
0005,"https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s7260882--1c988c3af2f168fd19732c3b32160eef0485234e4d2658ed90aeb2c627e98980.jpeg/full/!200,200/0/default.jpg","https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s7260882--1c988c3af2f168fd19732c3b32160eef0485234e4d2658ed90aeb2c627e98980.jpeg/full/3500,/0/default.jpg"
0006,"https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s7868049--2c0f936e89d1e50fd5a6b4fdcae2400c5a7a4479a8b61015faf98db14256c60d.jpeg/full/!200,200/0/default.jpg","https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s7868049--2c0f936e89d1e50fd5a6b4fdcae2400c5a7a4479a8b61015faf98db14256c60d.jpeg/full/3500,/0/default.jpg"
0007,"https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s9860657--350dc41e0decb277b2e843e9e1a6db2e37bbef8babf39d5b38f51a90d7b38b59.jpeg/full/!200,200/0/default.jpg","https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s9860657--350dc41e0decb277b2e843e9e1a6db2e37bbef8babf39d5b38f51a90d7b38b59.jpeg/full/3500,/0/default.jpg"
0008,"https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s8154842--3c7b7d60914f958a503f88146acf2fe5e53773b7023e0cd246f0be7f2ecf1e36.jpeg/full/!200,200/0/default.jpg","https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s8154842--3c7b7d60914f958a503f88146acf2fe5e53773b7023e0cd246f0be7f2ecf1e36.jpeg/full/3500,/0/default.jpg"
0009,"https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s7910149--9d7596bb0ef6a27eb627c9157a26aa42ba6f73f6a0c39797699e8c26251efe96.jpeg/full/!200,200/0/default.jpg","https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s7910149--9d7596bb0ef6a27eb627c9157a26aa42ba6f73f6a0c39797699e8c26251efe96.jpeg/full/3500,/0/default.jpg"
0010,"https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s7910149--9d7596bb0ef6a27eb627c9157a26aa42ba6f73f6a0c39797699e8c26251efe96.jpeg/full/!200,200/0/default.jpg","https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s7910149--9d7596bb0ef6a27eb627c9157a26aa42ba6f73f6a0c39797699e8c26251efe96.jpeg/full/3500,/0/default.jpg"
