,ï»¿term,values
0,"Abarbanel, Isaac ben Judah",
0,"Abarbanel, Isaac ben Judah",003
0,"Abarbanel, Isaac ben Judah",574
1,Abd-al-Rahman III,
1,Abd-al-Rahman III,186
2,Abolitionism,
2,Abolitionism,029
2,Abolitionism,040
2,Abolitionism,821
2,Abolitionism,827
3,"Abraham, Barnet",
3,"Abraham, Barnet",252
4,Abudarham,
4,Abudarham,222
5,"Adams, John",
5,"Adams, John",128
6,Adler,
6,Adler,761
7,"Adler (of Chicago), L.a",
7,"Adler (of Chicago), L.a",285
8,"Adler (of New York), S.",
8,"Adler (of New York), S.",594
9,"Adler, Abraham",
9,"Adler, Abraham",253
10,"Adler, Cyrus",
10,"Adler, Cyrus",607
10,"Adler, Cyrus",611
10,"Adler, Cyrus",638
10,"Adler, Cyrus",731
11,"Adler, Dr. Nathan M. (Chief Rabbi of Great Britain)",
11,"Adler, Dr. Nathan M. (Chief Rabbi of Great Britain)",045
11,"Adler, Dr. Nathan M. (Chief Rabbi of Great Britain)",198
11,"Adler, Dr. Nathan M. (Chief Rabbi of Great Britain)",284
11,"Adler, Dr. Nathan M. (Chief Rabbi of Great Britain)",432
11,"Adler, Dr. Nathan M. (Chief Rabbi of Great Britain)",712
12,"Adler, Felix",
12,"Adler, Felix",413
13,"Adler, Herman",
13,"Adler, Herman",318
13,"Adler, Herman",713
14,Adonai,
14,Adonai,639
15,"Adret, Solomon ben Abraham",
15,"Adret, Solomon ben Abraham",562
16,Agricultural Schools,
16,Agricultural Schools,272
17,"Aguilar, Emanuel: The Ancient Melodies of the Spanish and Portuguese Jews",
17,"Aguilar, Emanuel: The Ancient Melodies of the Spanish and Portuguese Jews",346
18,"Alatri, Samuel",
18,"Alatri, Samuel",428
18,"Alatri, Samuel",701
19,Alatrini,
19,Alatrini,254
19,Alatrini,681
20,"Albo, Joseph",
20,"Albo, Joseph",571
21,Alexandria,
21,Alexandria,317
22,"Allen, Anna",
22,"Allen, Anna",291
22,"Allen, Anna",647
23,Alliance IsraA?lite Universelle,
23,Alliance IsraA?lite Universelle,105
23,Alliance IsraA?lite Universelle,175
23,Alliance IsraA?lite Universelle,214
23,Alliance IsraA?lite Universelle,223
23,Alliance IsraA?lite Universelle,237
23,Alliance IsraA?lite Universelle,239
23,Alliance IsraA?lite Universelle,254
23,Alliance IsraA?lite Universelle,256
23,Alliance IsraA?lite Universelle,257
23,Alliance IsraA?lite Universelle,258
23,Alliance IsraA?lite Universelle,272
23,Alliance IsraA?lite Universelle,278
23,Alliance IsraA?lite Universelle,284
23,Alliance IsraA?lite Universelle,285
23,Alliance IsraA?lite Universelle,286
23,Alliance IsraA?lite Universelle,304
23,Alliance IsraA?lite Universelle,308
23,Alliance IsraA?lite Universelle,312
23,Alliance IsraA?lite Universelle,335
23,Alliance IsraA?lite Universelle,338
23,Alliance IsraA?lite Universelle,383
23,Alliance IsraA?lite Universelle,384
23,Alliance IsraA?lite Universelle,411
23,Alliance IsraA?lite Universelle,421
23,Alliance IsraA?lite Universelle,434
23,Alliance IsraA?lite Universelle,435
23,Alliance IsraA?lite Universelle,437
23,Alliance IsraA?lite Universelle,452
23,Alliance IsraA?lite Universelle,455
23,Alliance IsraA?lite Universelle,458
23,Alliance IsraA?lite Universelle,461
23,Alliance IsraA?lite Universelle,514
23,Alliance IsraA?lite Universelle,515
23,Alliance IsraA?lite Universelle,516
23,Alliance IsraA?lite Universelle,518
23,Alliance IsraA?lite Universelle,519
23,Alliance IsraA?lite Universelle,520
23,Alliance IsraA?lite Universelle,598
23,Alliance IsraA?lite Universelle,649
23,Alliance IsraA?lite Universelle,662
23,Alliance IsraA?lite Universelle,674
23,Alliance IsraA?lite Universelle,680
23,Alliance IsraA?lite Universelle,682
23,Alliance IsraA?lite Universelle,713
23,Alliance IsraA?lite Universelle,765
23,Alliance IsraA?lite Universelle,783
24,Almansi,
24,Almansi,127
24,Almansi,270
24,Almansi,782
25,American Catholic Quarterly Review,
25,American Catholic Quarterly Review,163
26,American Hebrew,
26,American Hebrew,301
26,American Hebrew,306
26,American Hebrew,313
26,American Hebrew,333
26,American Hebrew,336
26,American Hebrew,337
26,American Hebrew,349
26,American Hebrew,360
26,American Hebrew,364
26,American Hebrew,380
26,American Hebrew,391
26,American Hebrew,393
26,American Hebrew,439
26,American Hebrew,440
26,American Hebrew,456
26,American Hebrew,458
26,American Hebrew,459
26,American Hebrew,461
26,American Hebrew,462
26,American Hebrew,463
26,American Hebrew,519
26,American Hebrew,520
26,American Hebrew,527
26,American Hebrew,528
26,American Hebrew,529
26,American Hebrew,530
26,American Hebrew,531
26,American Hebrew,532
26,American Hebrew,549
26,American Hebrew,551
26,American Hebrew,568
26,American Hebrew,581
26,American Hebrew,582
26,American Hebrew,588
26,American Hebrew,589
26,American Hebrew,590
26,American Hebrew,601
26,American Hebrew,605
26,American Hebrew,608
26,American Hebrew,621
26,American Hebrew,624
26,American Hebrew,641
26,American Hebrew,642
26,American Hebrew,645
26,American Hebrew,646
26,American Hebrew,664
26,American Hebrew,676
26,American Hebrew,698
26,American Hebrew,700
26,American Hebrew,711
26,American Hebrew,731
26,American Hebrew,744
26,American Hebrew,780
26,American Hebrew,781
26,American Hebrew,784
26,American Hebrew,787
26,American Hebrew,798
26,American Hebrew,799
26,American Hebrew,800
26,American Hebrew,803
26,American Hebrew,804
26,American Hebrew,806
26,American Hebrew,826
27,American Israelite,
27,American Israelite,129
27,American Israelite,130
27,American Israelite,131
27,American Israelite,132
27,American Israelite,135
27,American Israelite,136
27,American Israelite,138
27,American Israelite,139
27,American Israelite,141
27,American Israelite,380
27,American Israelite,611
28,American Jewish Advocate,
28,American Jewish Advocate,345
29,American Jews? Annual,
29,American Jews? Annual,554
30,Anglo-Jewish Association,
30,Anglo-Jewish Association,662
30,Anglo-Jewish Association,713
31,Anglo-Jewry,
31,Anglo-Jewry,143
31,Anglo-Jewry,184
32,Anti-Semitic League,
32,Anti-Semitic League,280
33,Anti-Semitism,
33,Anti-Semitism,294
33,Anti-Semitism,303
33,Anti-Semitism,441
34,Anti-Semitism and its good effect,
34,Anti-Semitism and its good effect,038
35,Antologica Israelitica (of Corfu),
35,Antologica Israelitica (of Corfu),185
35,Antologica Israelitica (of Corfu),322
35,Antologica Israelitica (of Corfu),334
35,Antologica Israelitica (of Corfu),557
35,Antologica Israelitica (of Corfu),604
36,"Arbib Family (Edoardo, Giacomo & Lelio)",
36,"Arbib Family (Edoardo, Giacomo & Lelio)",708
36,"Arbib Family (Edoardo, Giacomo & Lelio)",710
37,Archives Isra?lites de France,
37,Archives Isra?lites de France,049
38,Archivolti,
38,Archivolti,040
39,Argentina,
39,Argentina,726
40,"Armhold, W.",
40,"Armhold, W.",259
41,"Arnold, Matthew",
41,"Arnold, Matthew",457
42,"Arthur, Chester A.",
42,"Arthur, Chester A.",586
42,"Arthur, Chester A.",688
42,"Arthur, Chester A.",732
43,"Artom, Isaac",
43,"Artom, Isaac",039
43,"Artom, Isaac",213
43,"Artom, Isaac",702
44,Aruch Completum,
44,Aruch Completum,113
44,Aruch Completum,668
44,Aruch Completum,779
45,"Ascarelli, Deborah",
45,"Ascarelli, Deborah",604
46,"Ascher, Rev. Simon",
46,"Ascher, Rev. Simon",103
47,"Ascoli, Graziadio",
47,"Ascoli, Graziadio",322
47,"Ascoli, Graziadio",705
47,"Ascoli, Graziadio",706
48,"Ascoli, Raphael",
48,"Ascoli, Raphael",345
49,Asmonean,
49,Asmonean,001
49,Asmonean,003
49,Asmonean,004
49,Asmonean,005
49,Asmonean,006
49,Asmonean,007
49,Asmonean,008
50,Association Review,
50,Association Review,181
50,Association Review,447
51,Astruc,
51,Astruc,744
52,Atlanta,
52,Atlanta,028
53,"Aufrecht, Mr.",
53,"Aufrecht, Mr.",217
54,"Azulai, H. J. D.",
54,"Azulai, H. J. D.",655
55,"Bacon, Francis",
55,"Bacon, Francis",199
56,Balmesi,
56,Balmesi,127
57,Bamberger,
